EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,MaritalStatus,Education,EducationField,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Attrition,attrition_flag,satisfaction_avg,tenure_band,income_band
461,38,MALE,Research & Development,Research Director,Travel_Rarely,Divorced,2,Life Sciences,11510,15682,14,3,1,12,3,11,10,2,9,YES,No,0,3.3333333333333335,10+,Q5 Highest
462,31,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,4,Medical,7143,25713,14,3,0,11,2,11,9,4,10,YES,No,0,3.0,10+,Q4
463,29,FEMALE,Sales,Sales Executive,Travel_Rarely,Divorced,1,Marketing,8268,11866,14,3,2,7,2,7,7,1,7,YES,No,0,3.0,5-10,Q4
464,35,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,4,Technical Degree,8095,18264,13,3,0,17,5,16,6,0,13,NO,No,0,2.6666666666666665,10+,Q4
465,23,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,1,Life Sciences,2904,16092,12,3,2,4,2,4,2,0,2,NO,No,0,3.0,3-5,Q2
466,41,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,3,Medical,6032,10110,15,3,0,8,3,5,4,1,2,YES,No,0,3.0,3-5,Q4
467,47,MALE,Sales,Sales Representative,Travel_Frequently,Single,1,Medical,2976,25751,19,3,0,5,3,0,0,0,0,NO,No,0,2.6666666666666665,0-1,Q2
468,42,FEMALE,Research & Development,Research Director,Travel_Rarely,Single,5,Life Sciences,15992,15901,14,3,0,16,2,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q5 Highest
469,29,MALE,Sales,Sales Executive,Non-Travel,Married,3,Life Sciences,4649,16928,14,3,1,4,3,4,3,0,2,NO,No,0,3.0,3-5,Q3
470,42,MALE,Human Resources,Human Resources,Travel_Rarely,Divorced,1,Technical Degree,2696,24017,11,3,1,4,5,3,2,1,0,YES,No,0,3.0,1-3,Q2
471,32,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,2370,3956,13,3,1,8,4,8,0,0,7,NO,No,0,2.6666666666666665,5-10,Q1 Lowest
473,48,FEMALE,Sales,Manager,Travel_Rarely,Married,1,Medical,12504,23978,21,4,1,15,3,0,0,0,0,NO,No,0,1.6666666666666667,0-1,Q5 Highest
474,37,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,3,Medical,5974,17001,13,3,2,13,2,7,7,6,7,YES,No,0,2.3333333333333335,5-10,Q4
475,30,FEMALE,Sales,Sales Executive,Non-Travel,Married,2,Technical Degree,4736,6069,12,3,1,4,2,2,2,2,2,YES,No,0,3.6666666666666665,1-3,Q3
476,26,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Life Sciences,5296,20156,17,3,1,8,3,8,7,7,7,NO,No,0,3.0,5-10,Q3
477,42,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Single,4,Other,6781,17078,23,4,0,14,6,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q4
478,21,FEMALE,Sales,Sales Representative,Travel_Frequently,Single,1,Technical Degree,2174,9150,11,3,0,3,3,3,2,1,2,YES,Yes,1,2.0,1-3,Q1 Lowest
479,36,FEMALE,Sales,Sales Executive,Non-Travel,Single,5,Medical,6653,15276,15,3,0,7,6,1,0,0,0,NO,No,0,3.6666666666666665,0-1,Q4
481,36,MALE,Sales,Sales Executive,Travel_Frequently,Married,4,Medical,9699,7246,11,3,1,16,2,13,9,1,12,NO,No,0,2.6666666666666665,10+,Q4
482,57,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,4,Medical,6755,2967,11,3,0,15,2,3,2,1,2,NO,No,0,3.3333333333333335,1-3,Q4
483,40,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,4,Life Sciences,2213,22495,13,3,1,10,3,7,7,1,7,YES,No,0,3.3333333333333335,5-10,Q1 Lowest
484,21,MALE,Sales,Sales Representative,Non-Travel,Single,2,Medical,2610,2851,24,4,0,3,3,3,2,2,2,NO,No,0,2.3333333333333335,1-3,Q1 Lowest
485,33,FEMALE,Sales,Sales Representative,Travel_Rarely,Single,3,Marketing,2851,9150,13,3,0,1,2,1,0,0,0,YES,Yes,1,3.3333333333333335,0-1,Q2
486,37,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,3452,17663,20,4,1,17,3,5,4,0,3,NO,No,0,2.3333333333333335,3-5,Q2
487,46,FEMALE,Research & Development,Manufacturing Director,Non-Travel,Married,4,Medical,5258,16044,14,3,0,7,2,1,0,0,0,NO,No,0,3.3333333333333335,0-1,Q3
488,41,MALE,Sales,Sales Executive,Travel_Frequently,Single,3,Marketing,9355,9558,18,3,0,8,5,8,7,7,7,NO,Yes,1,2.0,5-10,Q4
491,50,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Single,3,Technical Degree,10496,2755,15,3,0,20,2,4,3,1,3,NO,No,0,3.6666666666666665,3-5,Q5 Highest
492,40,MALE,Sales,Sales Executive,Travel_Rarely,Married,2,Marketing,6380,6110,12,3,2,8,6,6,4,1,0,YES,Yes,1,3.0,5-10,Q4
493,31,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,4,Life Sciences,2657,7551,16,3,0,3,5,2,2,2,2,YES,No,0,2.6666666666666665,1-3,Q1 Lowest
494,21,FEMALE,Sales,Sales Representative,Travel_Rarely,Single,3,Life Sciences,2716,25422,15,3,0,1,0,1,0,0,0,NO,Yes,1,2.6666666666666665,0-1,Q2
495,29,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Life Sciences,2201,18168,16,3,0,6,4,3,2,1,2,NO,No,0,3.6666666666666665,1-3,Q1 Lowest
496,35,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Single,4,Life Sciences,6540,19394,19,3,0,10,5,1,1,0,0,NO,No,0,2.6666666666666665,0-1,Q4
497,27,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,2,Medical,3816,17881,11,3,1,5,2,5,2,0,4,NO,No,0,3.0,3-5,Q2
498,28,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Life Sciences,5253,20750,16,3,0,7,1,7,5,0,7,NO,No,0,3.0,5-10,Q3
499,49,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Single,3,Other,10965,12066,24,4,0,26,2,5,2,0,0,NO,No,0,2.6666666666666665,3-5,Q5 Highest
500,51,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,2,Life Sciences,4936,14862,11,3,1,18,2,7,7,0,7,NO,No,0,3.0,5-10,Q3
501,36,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Life Sciences,2543,11868,13,3,1,6,3,2,2,2,2,NO,No,0,3.3333333333333335,1-3,Q1 Lowest
502,34,MALE,Sales,Sales Executive,Non-Travel,Single,3,Marketing,5304,4652,13,3,0,9,3,5,2,0,4,YES,Yes,1,2.3333333333333335,3-5,Q3
505,55,FEMALE,Research & Development,Manager,Travel_Rarely,Single,3,Life Sciences,16659,23258,13,3,0,30,2,5,4,1,2,YES,No,0,3.3333333333333335,3-5,Q5 Highest
507,24,FEMALE,Sales,Sales Executive,Travel_Rarely,Divorced,4,Marketing,4260,5915,12,3,1,5,2,5,2,0,3,YES,No,0,3.6666666666666665,3-5,Q3
508,30,MALE,Sales,Sales Representative,Travel_Rarely,Married,1,Technical Degree,2476,17434,18,3,1,1,3,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q1 Lowest
510,26,MALE,Research & Development,Research Scientist,Travel_Frequently,Single,1,Technical Degree,3102,6582,22,4,0,7,2,6,4,0,4,NO,Yes,1,2.3333333333333335,5-10,Q2
511,22,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Medical,2244,24440,13,3,1,2,1,2,1,1,2,NO,No,0,2.0,1-3,Q1 Lowest
513,36,MALE,Sales,Sales Executive,Travel_Rarely,Married,2,Medical,7596,3809,13,3,2,10,2,10,9,9,0,NO,No,0,2.6666666666666665,5-10,Q4
514,30,MALE,Research & Development,Research Scientist,Travel_Frequently,Single,3,Technical Degree,2285,3427,23,4,0,3,4,1,0,0,0,YES,Yes,1,3.3333333333333335,0-1,Q1 Lowest
515,37,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,3,Life Sciences,3034,26914,12,3,1,18,2,18,7,12,17,NO,No,0,2.3333333333333335,10+,Q2
516,40,FEMALE,Sales,Sales Executive,Travel_Rarely,Divorced,2,Marketing,5715,22553,12,3,2,8,5,5,4,1,3,NO,No,0,3.0,3-5,Q3
517,42,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,4,Life Sciences,2576,20490,16,3,1,8,5,5,2,1,2,NO,No,0,2.0,3-5,Q1 Lowest
518,37,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,4,Life Sciences,4197,21123,12,3,0,18,2,1,0,0,1,YES,No,0,2.3333333333333335,0-1,Q2
520,43,MALE,Research & Development,Research Director,Travel_Rarely,Divorced,3,Life Sciences,14336,4345,11,3,1,25,3,25,10,3,9,NO,No,0,2.0,10+,Q5 Highest
521,40,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,3448,13436,22,4,1,20,3,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q2
522,54,MALE,Research & Development,Research Director,Travel_Rarely,Married,2,Medical,19406,8509,11,3,1,24,4,4,2,1,2,NO,No,0,1.3333333333333333,3-5,Q5 Highest
523,34,FEMALE,Sales,Sales Executive,Non-Travel,Married,4,Marketing,6538,12740,15,3,1,6,3,3,2,1,2,NO,No,0,3.0,1-3,Q4
524,31,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,2,Medical,4306,4156,12,3,1,13,5,13,10,3,12,NO,No,0,1.3333333333333333,10+,Q3
525,43,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Married,3,Medical,2258,15238,20,4,1,8,1,3,2,1,2,NO,No,0,3.6666666666666665,1-3,Q1 Lowest
526,43,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Divorced,4,Other,4522,2227,14,3,0,8,3,5,2,0,2,YES,No,0,3.0,3-5,Q3
527,25,FEMALE,Sales,Sales Executive,Travel_Rarely,Single,2,Life Sciences,4487,12090,11,3,0,5,3,5,4,1,3,YES,No,0,3.0,3-5,Q3
529,37,FEMALE,Research & Development,Research Scientist,Non-Travel,Married,5,Medical,4449,23866,15,3,2,15,2,13,11,10,7,YES,No,0,2.6666666666666665,10+,Q3
530,31,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,2,Life Sciences,2218,16193,12,3,1,4,3,4,2,3,2,NO,No,0,2.6666666666666665,3-5,Q1 Lowest
531,39,MALE,Research & Development,Manager,Travel_Frequently,Divorced,1,Life Sciences,19197,8213,14,3,1,21,3,21,8,1,6,YES,No,0,2.6666666666666665,10+,Q5 Highest
532,56,FEMALE,Sales,Sales Executive,Travel_Frequently,Married,3,Life Sciences,13212,18256,11,3,3,36,0,7,7,7,7,NO,No,0,2.0,5-10,Q5 Highest
533,30,FEMALE,Sales,Sales Executive,Travel_Rarely,Single,3,Technical Degree,6577,19558,11,3,0,6,6,5,4,4,4,NO,No,0,2.6666666666666665,3-5,Q4
534,41,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Marketing,8392,19566,16,3,1,10,2,10,7,0,7,NO,No,0,2.0,5-10,Q4
536,28,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,2,Medical,4558,13535,12,3,1,10,2,10,0,1,8,NO,No,0,2.3333333333333335,5-10,Q3
538,25,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,4031,9396,13,3,1,6,5,2,2,0,2,NO,Yes,1,1.6666666666666667,1-3,Q2
543,52,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,3,Medical,7969,19609,14,3,0,28,4,5,4,0,4,YES,No,0,3.3333333333333335,3-5,Q4
544,45,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,2,Life Sciences,2654,9655,21,4,2,8,3,2,2,0,2,NO,No,0,2.3333333333333335,1-3,Q1 Lowest
546,52,FEMALE,Research & Development,Manager,Travel_Rarely,Married,2,Life Sciences,16555,10310,13,3,0,31,2,5,2,1,4,NO,No,0,3.0,3-5,Q5 Highest
547,42,FEMALE,Research & Development,Research Scientist,Travel_Frequently,Divorced,2,Life Sciences,4556,12932,11,3,1,19,3,5,4,0,2,NO,No,0,2.3333333333333335,3-5,Q3
548,30,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,3,Life Sciences,6091,24793,20,4,0,11,2,5,4,0,2,NO,No,0,3.3333333333333335,3-5,Q4
549,60,FEMALE,Research & Development,Manager,Travel_Rarely,Married,3,Life Sciences,19566,3854,11,3,0,33,5,29,8,11,10,NO,No,0,1.0,10+,Q5 Highest
550,46,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3,Medical,4810,26314,14,3,1,19,5,10,7,0,8,NO,No,0,2.6666666666666665,5-10,Q3
551,42,FEMALE,Research & Development,Healthcare Representative,Travel_Frequently,Married,4,Technical Degree,4523,4386,11,3,3,7,4,6,5,0,4,NO,No,0,4.0,5-10,Q3
554,24,FEMALE,Sales,Sales Representative,Travel_Rarely,Single,1,Technical Degree,3202,21972,16,3,0,6,4,5,3,1,4,YES,Yes,1,2.0,3-5,Q2
555,34,FEMALE,Sales,Sales Representative,Travel_Frequently,Divorced,2,Marketing,2351,12253,16,3,1,3,3,2,2,1,0,NO,Yes,1,3.0,1-3,Q1 Lowest
556,38,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Married,2,Life Sciences,1702,12106,23,4,1,1,3,1,0,0,0,YES,No,0,3.6666666666666665,0-1,Q1 Lowest
558,40,FEMALE,Sales,Manager,Travel_Rarely,Married,4,Life Sciences,18041,13022,14,3,0,21,2,20,15,1,12,NO,No,0,3.0,10+,Q5 Highest
560,26,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,3,Life Sciences,2886,3032,22,4,2,3,3,3,2,0,2,NO,No,0,2.0,1-3,Q2
562,30,MALE,Research & Development,Laboratory Technician,Non-Travel,Married,3,Life Sciences,2097,16734,15,3,1,9,3,5,3,1,4,NO,No,0,2.6666666666666665,3-5,Q1 Lowest
564,29,MALE,Research & Development,Research Director,Travel_Rarely,Married,4,Medical,11935,21526,18,3,0,10,2,10,2,0,7,NO,No,0,2.6666666666666665,5-10,Q5 Highest
565,29,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,5,Technical Degree,2546,18300,16,3,0,6,2,2,2,1,1,NO,Yes,1,3.0,1-3,Q1 Lowest
566,19,MALE,Human Resources,Human Resources,Travel_Rarely,Single,2,Technical Degree,2564,18437,12,3,0,1,3,1,0,0,0,NO,Yes,1,3.0,0-1,Q1 Lowest
567,30,FEMALE,Sales,Sales Executive,Non-Travel,Married,4,Other,8412,2890,11,3,0,10,3,9,8,7,8,NO,No,0,2.3333333333333335,5-10,Q4
568,57,MALE,Sales,Manager,Travel_Rarely,Divorced,3,Marketing,14118,22102,12,3,1,32,3,1,0,0,0,NO,No,0,2.3333333333333335,0-1,Q5 Highest
569,50,MALE,Research & Development,Manager,Travel_Rarely,Married,4,Life Sciences,17046,9314,15,3,1,28,2,27,10,15,7,NO,No,0,2.6666666666666665,10+,Q5 Highest
571,30,FEMALE,Research & Development,Laboratory Technician,Non-Travel,Single,3,Medical,2564,7181,14,3,0,12,2,11,7,6,7,NO,No,0,3.0,10+,Q1 Lowest
573,60,FEMALE,Sales,Sales Executive,Travel_Frequently,Married,3,Marketing,10266,2845,19,3,0,22,5,18,13,13,11,NO,No,0,2.6666666666666665,10+,Q5 Highest
574,47,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,2,Medical,5070,7389,13,3,3,20,2,5,0,0,4,NO,No,0,2.6666666666666665,3-5,Q3
575,46,MALE,Research & Development,Research Director,Travel_Rarely,Married,3,Life Sciences,17861,2288,13,3,0,26,2,3,2,0,1,NO,No,0,1.6666666666666667,1-3,Q5 Highest
577,35,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Life Sciences,4230,19225,15,3,0,6,2,5,4,4,3,NO,No,0,3.3333333333333335,3-5,Q3
578,54,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,4,Life Sciences,3780,23428,11,3,0,19,3,1,0,0,0,NO,No,0,3.0,0-1,Q2
579,34,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,4,Life Sciences,2768,8416,12,3,1,14,3,7,3,5,7,NO,No,0,3.3333333333333335,5-10,Q2
580,46,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,3,Marketing,9071,11563,19,3,1,15,3,3,2,1,2,YES,No,0,3.3333333333333335,1-3,Q4
581,31,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,1,Life Sciences,10648,14394,25,4,1,13,6,13,8,0,8,NO,No,0,3.0,10+,Q5 Highest
582,33,MALE,Research & Development,Manager,Travel_Rarely,Married,1,Medical,13610,24619,12,3,0,15,2,7,6,7,7,YES,Yes,1,3.0,5-10,Q5 Highest
584,33,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1,Medical,3408,6705,13,3,3,8,2,4,3,1,3,NO,Yes,1,2.6666666666666665,3-5,Q2
585,30,MALE,Sales,Sales Representative,Travel_Rarely,Single,1,Marketing,2983,18398,14,3,0,4,3,3,2,1,2,NO,No,0,3.0,1-3,Q2
586,35,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,3,Life Sciences,7632,14295,12,3,0,10,2,8,7,0,0,YES,No,0,3.3333333333333335,5-10,Q4
587,31,MALE,Research & Development,Healthcare Representative,Travel_Frequently,Married,3,Life Sciences,9824,22908,12,3,0,12,2,1,0,0,0,NO,Yes,1,2.3333333333333335,0-1,Q4
590,34,FEMALE,Human Resources,Human Resources,Travel_Frequently,Divorced,3,Human Resources,9950,11533,15,3,3,11,2,3,2,0,2,YES,Yes,1,2.0,1-3,Q5 Highest
591,42,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Married,2,Other,2093,9260,17,3,1,8,4,2,2,2,0,NO,No,0,2.6666666666666665,1-3,Q1 Lowest
592,36,MALE,Sales,Sales Executive,Non-Travel,Single,4,Medical,9980,15318,14,3,0,10,3,10,3,9,7,NO,No,0,2.6666666666666665,5-10,Q5 Highest
593,22,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,1,Technical Degree,3894,9129,16,3,0,4,3,2,2,1,2,NO,Yes,1,3.0,1-3,Q2
595,48,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,5,Marketing,4051,19658,14,3,1,14,2,9,7,6,7,NO,No,0,3.0,5-10,Q2
597,55,FEMALE,Sales,Manager,Travel_Rarely,Single,5,Life Sciences,16835,9873,23,4,0,37,2,10,9,7,7,NO,No,0,2.0,5-10,Q5 Highest
599,41,MALE,Sales,Sales Executive,Non-Travel,Single,2,Life Sciences,6230,13430,14,3,0,16,3,14,3,1,10,NO,No,0,3.6666666666666665,10+,Q4
600,35,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Marketing,4717,18659,11,3,0,15,2,11,9,6,9,NO,No,0,2.6666666666666665,10+,Q3
601,40,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,3,Life Sciences,13237,20364,15,3,0,22,3,20,6,5,13,NO,No,0,2.6666666666666665,10+,Q5 Highest
602,39,FEMALE,Research & Development,Laboratory Technician,Travel_Frequently,Married,1,Life Sciences,3755,17872,11,3,1,8,3,8,3,0,7,NO,No,0,3.0,5-10,Q2
604,31,MALE,Sales,Sales Executive,Travel_Rarely,Single,1,Life Sciences,6582,8346,13,3,0,10,2,6,5,0,5,YES,No,0,3.3333333333333335,5-10,Q4
605,42,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,3,Medical,7406,6950,21,4,1,10,5,10,9,5,8,YES,No,0,2.3333333333333335,5-10,Q4
606,45,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Other,4805,16177,19,3,1,9,3,8,7,3,7,NO,No,0,3.3333333333333335,5-10,Q3
608,26,FEMALE,Human Resources,Human Resources,Travel_Frequently,Divorced,4,Life Sciences,2741,22808,11,3,1,8,2,7,7,1,0,YES,Yes,1,2.3333333333333335,5-10,Q2
611,29,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3,Technical Degree,4262,22645,12,3,2,8,2,3,2,1,2,NO,No,0,4.0,1-3,Q3
612,33,FEMALE,Research & Development,Research Director,Travel_Rarely,Divorced,5,Medical,16184,22578,19,3,1,10,2,6,1,0,5,NO,No,0,2.3333333333333335,5-10,Q5 Highest
613,31,MALE,Sales,Manager,Travel_Rarely,Divorced,3,Life Sciences,11557,25291,21,4,1,10,3,5,4,0,1,NO,No,0,3.0,3-5,Q5 Highest
614,18,MALE,Sales,Sales Representative,Travel_Frequently,Single,3,Marketing,1878,8059,14,3,0,0,3,0,0,0,0,YES,Yes,1,2.3333333333333335,0-1,Q1 Lowest
615,40,MALE,Sales,Sales Executive,Non-Travel,Divorced,3,Other,10932,11373,15,3,1,20,2,1,0,0,1,NO,No,0,2.3333333333333335,0-1,Q5 Highest
616,41,FEMALE,Research & Development,Healthcare Representative,Non-Travel,Single,4,Other,6811,2112,17,3,0,10,3,8,7,0,7,YES,No,0,2.3333333333333335,5-10,Q4
618,26,MALE,Sales,Sales Executive,Travel_Rarely,Divorced,2,Medical,4306,4267,12,3,2,8,5,0,0,0,0,NO,No,0,2.3333333333333335,0-1,Q3
620,35,FEMALE,Sales,Sales Executive,Travel_Rarely,Single,3,Medical,4859,6698,16,3,0,5,3,5,4,0,3,NO,No,0,2.3333333333333335,3-5,Q3
621,34,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Life Sciences,5337,19921,12,3,0,10,3,10,7,5,7,NO,No,0,3.6666666666666665,5-10,Q3
622,26,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Technical Degree,2340,23213,18,3,0,1,3,1,0,0,0,YES,Yes,1,2.6666666666666665,0-1,Q1 Lowest
623,37,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,3,Technical Degree,7491,23848,17,3,0,12,3,6,5,1,2,NO,No,0,3.3333333333333335,5-10,Q4
624,46,FEMALE,Research & Development,Healthcare Representative,Travel_Frequently,Married,1,Medical,10527,8984,11,3,0,28,3,2,2,1,2,NO,No,0,2.0,1-3,Q5 Highest
625,41,FEMALE,Sales,Manager,Travel_Rarely,Married,5,Life Sciences,16595,5626,16,3,1,22,2,18,16,11,8,NO,No,0,2.0,10+,Q5 Highest
626,37,MALE,Sales,Sales Executive,Non-Travel,Divorced,4,Medical,8834,24666,13,3,1,9,6,9,5,7,7,NO,No,0,2.0,5-10,Q4
630,52,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,2,Technical Degree,5577,22087,12,3,2,18,3,10,9,6,9,YES,No,0,2.6666666666666665,5-10,Q3
631,32,MALE,Sales,Sales Executive,Non-Travel,Married,4,Other,4707,23914,12,3,0,6,2,4,2,1,2,NO,Yes,1,3.3333333333333335,3-5,Q3
632,24,MALE,Sales,Sales Representative,Travel_Frequently,Married,3,Medical,2400,5530,13,3,2,3,3,2,2,2,1,NO,No,0,3.6666666666666665,1-3,Q1 Lowest
634,38,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,3,Medical,9824,22174,19,3,1,18,4,1,0,0,0,NO,No,0,3.0,0-1,Q4
635,37,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,4,Life Sciences,6447,15701,12,3,1,8,2,6,5,4,3,NO,No,0,2.0,5-10,Q4
638,49,MALE,Research & Development,Research Director,Travel_Rarely,Divorced,4,Life Sciences,19502,2125,17,3,1,31,5,31,9,0,9,YES,No,0,3.3333333333333335,10+,Q5 Highest
639,24,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Medical,2725,21630,11,3,2,6,3,6,5,1,4,YES,No,0,3.0,5-10,Q2
641,26,MALE,Sales,Sales Executive,Travel_Rarely,Married,2,Marketing,6272,7428,20,4,2,6,5,5,3,1,4,NO,No,0,2.3333333333333335,3-5,Q4
643,24,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,2,Other,2127,9100,21,4,1,1,2,1,0,0,0,NO,No,0,3.0,0-1,Q1 Lowest
644,50,MALE,Human Resources,Manager,Travel_Frequently,Married,3,Medical,18200,7999,11,3,1,32,2,32,5,10,7,NO,No,0,2.0,10+,Q5 Highest
645,25,MALE,Sales,Sales Representative,Travel_Rarely,Married,1,Medical,2096,26376,11,3,0,7,1,7,4,0,6,NO,No,0,2.6666666666666665,5-10,Q1 Lowest
647,24,FEMALE,Research & Development,Laboratory Technician,Travel_Frequently,Married,3,Life Sciences,2886,14168,16,3,1,6,4,6,3,1,2,YES,Yes,1,2.3333333333333335,5-10,Q2
648,30,MALE,Sales,Sales Representative,Travel_Frequently,Married,4,Life Sciences,2033,14470,18,3,1,1,2,1,0,0,0,NO,Yes,1,2.3333333333333335,0-1,Q1 Lowest
649,34,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,2,Life Sciences,3622,22794,13,3,1,6,3,6,5,1,3,YES,No,0,3.0,5-10,Q2
650,31,MALE,Sales,Sales Executive,Travel_Rarely,Divorced,4,Medical,4233,11512,17,3,0,9,2,3,1,1,2,NO,Yes,1,1.3333333333333333,1-3,Q3
652,35,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,2,Other,3681,14004,14,3,0,9,3,3,2,0,2,NO,No,0,2.6666666666666665,1-3,Q2
653,31,MALE,Sales,Sales Executive,Travel_Rarely,Divorced,4,Medical,5460,6219,22,4,2,13,4,7,7,5,7,NO,No,0,3.0,5-10,Q3
655,27,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,4,Medical,2187,5013,12,3,2,6,5,5,3,0,3,NO,No,0,2.0,3-5,Q1 Lowest
656,37,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Marketing,9602,3010,11,3,1,17,3,3,0,1,0,YES,No,0,3.0,1-3,Q4
657,20,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Life Sciences,2836,11757,13,3,0,1,0,1,0,0,0,NO,No,0,3.3333333333333335,0-1,Q2
659,42,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,4,Life Sciences,4089,5718,13,3,2,10,4,10,2,2,2,NO,No,0,3.3333333333333335,5-10,Q2
661,43,MALE,Research & Development,Research Director,Travel_Rarely,Divorced,4,Other,16627,2671,14,3,1,21,3,1,0,0,0,YES,No,0,2.6666666666666665,0-1,Q5 Highest
662,38,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Single,1,Life Sciences,2619,14561,17,3,0,8,3,0,0,0,0,NO,No,0,2.0,0-1,Q1 Lowest
663,43,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,5,Medical,5679,19627,13,3,1,10,3,8,7,4,7,YES,No,0,3.3333333333333335,5-10,Q3
664,48,FEMALE,Research & Development,Manager,Travel_Rarely,Married,4,Life Sciences,15402,17997,11,3,1,21,3,3,2,0,2,NO,No,0,2.0,1-3,Q5 Highest
665,44,FEMALE,Human Resources,Human Resources,Travel_Rarely,Single,4,Life Sciences,5985,26894,11,3,0,10,1,2,2,0,2,NO,No,0,2.6666666666666665,1-3,Q4
666,34,FEMALE,Sales,Sales Representative,Travel_Rarely,Divorced,3,Technical Degree,2579,2912,18,3,2,8,3,8,2,0,6,YES,No,0,3.0,5-10,Q1 Lowest
